t,S,N,dN/dS,dN,dS,gene1,gene2,l,node,family,alignmentcoverage,alignmentidentity,alignmentlength,strippedalignmentlength,weightoutlierincluded,weightoutlierexcluded,node_averaged_dS_outlierincluded,node_averaged_dS_outlierexcluded
9.4319,165.2,539.8,0.0846,0.889,10.51,egu1000.fasta_00070,egu1000.fasta_00194,-1837.296736,6,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,1.0,,10.51,
8.3695,158.5,546.5,0.1148,1.0202,8.8905,egu1000.fasta_00136,egu1000.fasta_00194,-1833.736218,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
9.7397,168.6,536.4,0.072,0.7955,11.0467,egu1000.fasta_00136,egu1000.fasta_00070,-1820.301182,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
6.1106,165.3,539.7,0.1796,0.9834,5.4765,egu1000.fasta_00448,egu1000.fasta_00194,-1862.243819,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,167.3,537.7,0.0103,0.7006,67.9673,egu1000.fasta_00448,egu1000.fasta_00070,-1818.761493,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
20.8468,175.9,529.1,0.0358,0.9008,25.1461,egu1000.fasta_00211,egu1000.fasta_00136,-1838.155247,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
27.3172,168.3,536.7,0.0168,0.6097,36.1944,egu1000.fasta_00211,egu1000.fasta_00448,-1796.771469,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,151.7,553.3,0.0118,0.8785,74.2532,egu1000.fasta_00180,egu1000.fasta_00136,-1835.34237,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
13.6366,176.9,528.1,0.0534,0.8338,15.627,egu1000.fasta_00180,egu1000.fasta_00448,-1842.819011,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
19.3985,177.4,527.6,0.0382,0.8812,23.0708,egu1000.fasta_00209,egu1000.fasta_00136,-1828.600231,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,168.2,536.8,0.0089,0.6077,67.9147,egu1000.fasta_00209,egu1000.fasta_00448,-1791.335707,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
18.3295,163.3,541.7,0.0383,0.8958,23.4035,egu1000.fasta_00049,egu1000.fasta_00136,-1839.206531,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,173.1,531.9,0.0109,0.7148,65.677,egu1000.fasta_00049,egu1000.fasta_00448,-1819.23725,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
