t,S,N,dN/dS,dN,dS,gene1,gene2,l,node,family,alignmentcoverage,alignmentidentity,alignmentlength,strippedalignmentlength,weightoutlierincluded,weightoutlierexcluded,node_averaged_dS_outlierincluded,node_averaged_dS_outlierexcluded
2.3452,219.9,686.1,0.1351,0.3061,2.2658,egu1000.fasta_00315,egu1000.fasta_00340,-2031.526445,0,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,0.2,0.2,3.2325000000000004,3.2325000000000004
3.0579,218.1,687.9,0.087,0.2891,3.3226,egu1000.fasta_00344,egu1000.fasta_00315,-2026.13925,0,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,0.2,0.2,3.2325000000000004,3.2325000000000004
3.3322,217.9,688.1,0.0749,0.2797,3.7355,egu1000.fasta_00349,egu1000.fasta_00315,-2020.743473,0,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,0.2,0.2,3.2325000000000004,3.2325000000000004
2.2271,212.1,693.9,0.1447,0.3114,2.1523,egu1000.fasta_00338,egu1000.fasta_00315,-2042.641164,0,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,0.2,0.2,3.2325000000000004,3.2325000000000004
4.1691,223.6,682.4,0.0661,0.3096,4.6863,egu1000.fasta_00372,egu1000.fasta_00315,-2043.030956,0,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,0.2,0.2,3.2325000000000004,3.2325000000000004
0.5852,238.2,667.8,0.3332,0.1278,0.3836,egu1000.fasta_00344,egu1000.fasta_00340,-1724.453689,2,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,0.25,0.25,0.38792499999999996,0.38792499999999996
0.6325,237.5,668.5,0.3734,0.1464,0.3922,egu1000.fasta_00338,egu1000.fasta_00344,-1752.492729,2,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,0.25,0.25,0.38792499999999996,0.38792499999999996
0.6172,240.3,665.7,0.3688,0.1415,0.3837,egu1000.fasta_00372,egu1000.fasta_00340,-1744.217227,2,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,0.25,0.25,0.38792499999999996,0.38792499999999996
0.6654,239.4,666.6,0.4095,0.1606,0.3922,egu1000.fasta_00372,egu1000.fasta_00338,-1771.465773,2,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,0.25,0.25,0.38792499999999996,0.38792499999999996
0.986,237.5,668.5,0.3282,0.2139,0.6518,egu1000.fasta_00349,egu1000.fasta_00340,-1887.999102,1,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,0.25,0.25,0.7139,0.7139
1.0645,233.5,672.5,0.3003,0.2217,0.7383,egu1000.fasta_00349,egu1000.fasta_00344,-1912.176609,1,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,0.25,0.25,0.7139,0.7139
1.0925,233.9,672.1,0.2998,0.2272,0.7578,egu1000.fasta_00338,egu1000.fasta_00349,-1919.728603,1,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,0.25,0.25,0.7139,0.7139
1.0821,236.4,669.6,0.3365,0.2381,0.7077,egu1000.fasta_00372,egu1000.fasta_00349,-1923.58521,1,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,0.25,0.25,0.7139,0.7139
0.2216,245.4,660.6,0.3229,0.0471,0.1459,egu1000.fasta_00338,egu1000.fasta_00340,-1480.426232,3,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,1.0,1.0,0.1459,0.1459
0.0519,236.4,669.6,0.3775,0.0121,0.032,egu1000.fasta_00372,egu1000.fasta_00344,-1299.763129,4,GF00000007,0.5180102915951973,0.5044150110375276,1749,906,1.0,1.0,0.032,0.032
