gene1,gene2,family
egu1000.fasta_00376,egu1000.fasta_00380,GF00000003
egu1000.fasta_00376,egu1000.fasta_00367,GF00000003
egu1000.fasta_00376,egu1000.fasta_00378,GF00000003
egu1000.fasta_00376,egu1000.fasta_00368,GF00000003
egu1000.fasta_00376,egu1000.fasta_00371,GF00000003
egu1000.fasta_00376,egu1000.fasta_00375,GF00000003
egu1000.fasta_00376,egu1000.fasta_00370,GF00000003
egu1000.fasta_00376,egu1000.fasta_00377,GF00000003
egu1000.fasta_00380,egu1000.fasta_00367,GF00000003
egu1000.fasta_00380,egu1000.fasta_00378,GF00000003
egu1000.fasta_00380,egu1000.fasta_00368,GF00000003
egu1000.fasta_00380,egu1000.fasta_00371,GF00000003
egu1000.fasta_00380,egu1000.fasta_00375,GF00000003
egu1000.fasta_00380,egu1000.fasta_00370,GF00000003
egu1000.fasta_00380,egu1000.fasta_00377,GF00000003
egu1000.fasta_00367,egu1000.fasta_00378,GF00000003
egu1000.fasta_00367,egu1000.fasta_00368,GF00000003
egu1000.fasta_00367,egu1000.fasta_00371,GF00000003
egu1000.fasta_00367,egu1000.fasta_00375,GF00000003
egu1000.fasta_00367,egu1000.fasta_00370,GF00000003
egu1000.fasta_00367,egu1000.fasta_00377,GF00000003
egu1000.fasta_00378,egu1000.fasta_00368,GF00000003
egu1000.fasta_00378,egu1000.fasta_00371,GF00000003
egu1000.fasta_00378,egu1000.fasta_00375,GF00000003
egu1000.fasta_00378,egu1000.fasta_00370,GF00000003
egu1000.fasta_00378,egu1000.fasta_00377,GF00000003
egu1000.fasta_00368,egu1000.fasta_00371,GF00000003
egu1000.fasta_00368,egu1000.fasta_00375,GF00000003
egu1000.fasta_00368,egu1000.fasta_00370,GF00000003
egu1000.fasta_00368,egu1000.fasta_00377,GF00000003
egu1000.fasta_00371,egu1000.fasta_00375,GF00000003
egu1000.fasta_00371,egu1000.fasta_00370,GF00000003
egu1000.fasta_00371,egu1000.fasta_00377,GF00000003
egu1000.fasta_00375,egu1000.fasta_00370,GF00000003
egu1000.fasta_00375,egu1000.fasta_00377,GF00000003
egu1000.fasta_00370,egu1000.fasta_00377,GF00000003
